x-axis,1,,,,,,,,
second,Volt,,second,Volt,uA,,,,
-3.96E-03,5.53E-02,,0.00181,0.0879397,8.79397E-08,7.91458E-13,,1.04712E-08,uA-seconds
-3.95E-03,9.05E-02,,0.00182,0.0703518,7.03518E-08,7.28644E-13,,,
-3.94E-03,7.29E-02,,0.00183,0.0753769,7.53769E-08,6.40704E-13,,,
-3.93E-03,7.04E-02,,0.00184,0.0527638,5.27638E-08,7.16081E-13,,,
-3.92E-03,5.53E-02,,0.00185,0.0904523,9.04523E-08,7.28644E-13,,,
-3.91E-03,7.04E-02,,0.00186,0.0552764,5.52764E-08,7.28644E-13,,,
-3.90E-03,7.29E-02,,0.00187,0.0904523,9.04523E-08,8.16583E-13,,,
-3.89E-03,5.53E-02,,0.00188,0.0728643,7.28643E-08,6.40704E-13,,,
-3.88E-03,5.28E-02,,0.00189,0.0552764,5.52764E-08,6.40703E-13,,,
-3.87E-03,7.29E-02,,0.0019,0.0728643,7.28643E-08,7.28643E-13,,,
-3.86E-03,9.05E-02,,0.00191,0.0728643,7.28643E-08,6.40704E-13,,,
-3.85E-03,8.79E-02,,0.00192,0.0552764,5.52764E-08,5.52764E-13,,,
-3.84E-03,7.29E-02,,0.00193,0.0552764,5.52764E-08,6.40704E-13,,,
-3.83E-03,7.29E-02,,0.00194,0.0728643,7.28643E-08,7.28643E-13,,,
-3.82E-03,7.04E-02,,0.00195,0.0728643,7.28643E-08,6.40704E-13,,,
-3.81E-03,7.29E-02,,0.00196,0.0552764,5.52764E-08,5.52764E-13,,,
-3.80E-03,7.04E-02,,0.00197,0.0552764,5.52764E-08,7.16081E-13,,,
-3.79E-03,7.29E-02,,0.00198,0.0879397,8.79397E-08,8.0402E-13,,,
-3.78E-03,7.04E-02,,0.00199,0.0728643,7.28643E-08,7.28643E-13,,,
-3.77E-03,5.53E-02,,0.002,0.0728643,7.28643E-08,7.16081E-13,,,
-3.76E-03,7.29E-02,,0.00201,0.0703518,7.03518E-08,7.16081E-13,,,
-3.75E-03,7.04E-02,,0.00202,0.0728643,7.28643E-08,7.28643E-13,,,
-3.74E-03,5.53E-02,,0.00203,0.0728643,7.28643E-08,9.17086E-13,,,
-3.73E-03,5.28E-02,,0.00204,0.1105528,1.10553E-07,1.10553E-12,,,
-3.72E-03,7.04E-02,,0.00205,0.1105528,1.10553E-07,1.11809E-12,,,
-3.71E-03,7.04E-02,,0.00206,0.1130653,1.13065E-07,1.04271E-12,,,
-3.70E-03,7.04E-02,,0.00207,0.0954774,9.54774E-08,1.05528E-12,,,
-3.69E-03,7.29E-02,,0.00208,0.1155779,1.15578E-07,1.24372E-12,,,
-3.68E-03,7.29E-02,,0.00209,0.1331658,1.33166E-07,1.33166E-12,,,
-3.67E-03,7.29E-02,,0.0021,0.1331658,1.33166E-07,1.33166E-12,,,
-3.66E-03,5.53E-02,,0.00211,0.1331658,1.33166E-07,1.43216E-12,,,
-3.65E-03,7.29E-02,,0.00212,0.1532663,1.53266E-07,1.5201E-12,,,
-3.64E-03,5.53E-02,,0.00213,0.1507538,1.50754E-07,1.5201E-12,,,
-3.63E-03,5.28E-02,,0.00214,0.1532663,1.53266E-07,1.6206E-12,,,
-3.62E-03,5.53E-02,,0.00215,0.1708543,1.70854E-07,1.63317E-12,,,
-3.61E-03,7.54E-02,,0.00216,0.1557789,1.55779E-07,1.64573E-12,,,
-3.60E-03,7.29E-02,,0.00217,0.1733668,1.73367E-07,1.73367E-12,,,
-3.59E-03,7.04E-02,,0.00218,0.1733668,1.73367E-07,1.73367E-12,,,
-3.58E-03,5.28E-02,,0.00219,0.1733668,1.73367E-07,1.73367E-12,,,
-3.57E-03,7.29E-02,,0.0022,0.1733668,1.73367E-07,1.83417E-12,,,
-3.56E-03,7.29E-02,,0.00221,0.1934674,1.93467E-07,1.93467E-12,,,
-3.55E-03,7.29E-02,,0.00222,0.1934674,1.93467E-07,1.93467E-12,,,
-3.54E-03,9.05E-02,,0.00223,0.1934674,1.93467E-07,2.03518E-12,,,
-3.53E-03,7.04E-02,,0.00224,0.2135679,2.13568E-07,2.12312E-12,,,
-3.52E-03,7.29E-02,,0.00225,0.2110553,2.11055E-07,2.11055E-12,,,
-3.51E-03,7.29E-02,,0.00226,0.2110553,2.11055E-07,2.12312E-12,,,
-3.50E-03,7.29E-02,,0.00227,0.2135679,2.13568E-07,2.13568E-12,,,
-3.49E-03,7.04E-02,,0.00228,0.2135679,2.13568E-07,2.13568E-12,,,
-3.48E-03,7.29E-02,,0.00229,0.2135679,2.13568E-07,2.13568E-12,,,
-3.47E-03,7.29E-02,,0.0023,0.2135679,2.13568E-07,2.14824E-12,,,
-3.46E-03,5.53E-02,,0.00231,0.2160804,2.1608E-07,2.24874E-12,,,
-3.45E-03,7.29E-02,,0.00232,0.2336684,2.33668E-07,2.33668E-12,,,
-3.44E-03,7.29E-02,,0.00233,0.2336684,2.33668E-07,2.42462E-12,,,
